tenantid,rtid,bldgid,reqdate,unit,reqdescription,compstamp
389,1,6,1/17/2024,696,Wireless wifi websites.,
642,6,2,1/17/2024,216,Bathroom dripping a dripping move dripping hopeless.,
405,5,6,1/17/2024,619,Blowing grate to fan help fan broken.,
285,2,1,1/17/2024,117,Hopeless bashed with an axe bashed with an axe trapped locked to.,
79,1,1,1/17/2024,138,Slumlord port internet to.,
144,2,7,1/17/2024,730,Help bashed with an axe bashed with an axe trapped locked to.,
455,3,5,1/17/2024,522,Slumlord bulb bulb whine whine a.,
453,8,1,1/17/2024,133,Stuck injured @#$%*&! cardboard lock @#$%*&! handle cant open.,
555,3,6,1/18/2024,671,Night Light the smoke.,
358,1,2,1/18/2024,296,Wireless wifi websites.,
39,6,7,1/19/2024,716,Might highly forever law suit.,
213,9,1,1/19/2024,172,@#$%*&! huge cabinet noxious.,
270,5,7,1/19/2024,730,Slumlord grate boiling on.,
684,5,1,1/20/2024,114,Wheeze on highly to.,
520,9,2,1/20/2024,206,Highly closet rod maybe to.,
253,1,6,1/20/2024,611,Broken download modem call.,
416,8,3,1/20/2024,304,Crack fallen out the @#$%*&! of injured of.,
246,2,7,1/21/2024,776,Falling loose the highly incompetent broken forever.,
104,2,1,1/21/2024,161,The a broken.,
590,1,1,1/21/2024,183,Forever click click game streaming the.,
426,9,7,1/21/2024,729,Cupboard closet rod a closet rod might shelf hopeless.,
229,1,2,1/21/2024,222,Internet shopping might game call might download port.,
697,1,5,1/21/2024,576,@#$%*&! download modem call.,
280,3,8,1/21/2024,860,Flame led to led might bulb for.,
333,2,4,1/22/2024,451,Knob broken forever trapped open forever jamb barricade.,
183,3,5,1/22/2024,566,Flame switch night light will sue incompetent smoke of.,
548,8,4,1/22/2024,488,Crack fallen out the broken for injured law suit.,
245,1,2,1/22/2024,221,@#$%*&! click click game streaming the.,
293,2,5,1/23/2024,507,Knob broken law suit trapped open law suit jamb barricade.,
166,2,8,1/23/2024,850,Of bashed with an axe bashed with an axe trapped locked to.,
326,9,6,1/23/2024,679,Vinyl melting uncomfortable.,
411,1,8,1/23/2024,843,Might @#$%*&! forever forever.,
393,5,7,1/23/2024,752,Blowing chilly unexpected of deposit a/c slumlord.,
74,1,5,1/23/2024,512,Slow download wireless deposit deposit websites forever.,
564,8,6,1/23/2024,614,Deposit fallen out shatter lock.,
167,8,3,1/23/2024,358,Will Sue fallen out shatter lock.,
520,5,1,1/23/2024,107,Of grate boiling on.,
446,6,1,1/23/2024,130,Pooled Up plunger pooled up flooded wet rattle water.,
310,9,5,1/23/2024,581,Move shelf shelf wall fixture the.,
108,1,2,1/23/2024,225,Slow download wireless for slumlord websites help.,
620,2,4,1/23/2024,419,Falling air whistle on air whistle of air whistle law suit.,
571,3,2,1/23/2024,210,Forever bulb bulb whine whine a.,
104,3,1,1/23/2024,101,Night Light the smoke.,
159,2,5,1/23/2024,536,The a broken.,
267,1,8,1/24/2024,874,Internet shopping deposit game call deposit download port.,
180,1,7,1/24/2024,767,Will Sue click click game streaming the.,
122,3,7,1/24/2024,740,Might led spark to.,
338,9,5,1/24/2024,516,Move shelf shelf wall fixture the.,
548,8,5,1/24/2024,501,Crack fallen out the help might injured law suit.,
141,3,8,1/24/2024,889,Help deposit of incompetent.,
370,6,3,1/24/2024,365,With plunger toilet squeak.,
380,1,2,1/24/2024,252,Cable download cable network cable OnlyFans download.,
686,9,4,1/24/2024,488,Cupboard closet rod a closet rod broken shelf incompetent.,
446,9,3,1/24/2024,350,@#$%*&! shelf shelf wall fixture the.,
643,1,4,1/24/2024,427,Internet shopping highly game call highly download port.,
554,1,3,1/24/2024,301,Internet shopping help game call help download port.,
205,9,6,1/24/2024,640,Vinyl melting uncomfortable.,
305,5,1,1/24/2024,197,Unexpected a a/c.,
146,9,7,1/24/2024,732,Maybe vibrating highly wall noxious highly ceiling closet rod.,
275,3,4,1/24/2024,486,Darkness switch darkness fridge led wire explode.,
441,2,4,1/24/2024,443,Of hopeless move of.,
117,8,4,1/24/2024,475,Stuck injured slumlord cardboard lock slumlord handle cant open.,
350,8,8,1/24/2024,824,CanT Open fallen out cant open glass cant open bars handle.,
448,3,7,1/24/2024,712,Darkness switch darkness fridge led wire explode.,
606,1,5,1/25/2024,529,Cable download cable network cable OnlyFans download.,
467,9,6,1/25/2024,669,Slumlord slumlord highly highly.,
143,1,8,1/25/2024,864,Slow port a port incompetent click move.,
315,1,4,1/25/2024,418,Help help highly might.,
206,9,4,1/25/2024,464,Cupboard huge vinyl will sue help uncomfortable slumlord.,
551,6,5,1/25/2024,540,For incompetent deposit law suit.,
201,9,7,1/25/2024,731,Vinyl melting uncomfortable.,
233,9,8,1/25/2024,868,Incompetent shelf shelf wall fixture the.,
534,1,7,1/25/2024,715,Cable download cable network cable OnlyFans download.,
539,8,1,1/25/2024,166,Deposit not transparent stuck on.,
143,9,4,1/25/2024,427,Broken shelf shelf wall fixture the.,
13,5,2,1/25/2024,295,Wheeze on for to.,
105,8,8,1/25/2024,858,Incompetent track duct tape duct tape shatter will sue deposit cut hand.,
491,2,7,1/25/2024,716,Falling loose the @#$%*&! might broken for.,
67,8,2,1/25/2024,243,Crack not transparent on not transparent law suit not transparent forever.,
522,9,3,1/26/2024,368,Cupboard huge vinyl deposit move uncomfortable for.,
256,8,1,1/26/2024,131,Broken not transparent stuck on.,
396,3,2,1/26/2024,284,Incompetent switch shock dim.,
562,6,3,1/26/2024,389,Bathroom flush pooled up hopeless @#$%*&! handle hopeless.,
29,8,6,1/26/2024,605,Crack fallen out the will sue will sue injured slumlord.,
72,5,2,1/26/2024,249,Forever grate boiling on.,
664,9,6,1/26/2024,691,Law Suit closet rod maybe to.,
670,9,6,1/26/2024,664,Hopeless shelf shelf wall fixture the.,
37,1,4,1/26/2024,437,Wireless wifi websites.,
692,1,3,1/27/2024,309,Wireless wifi websites.,
568,1,2,1/27/2024,249,Move download modem call.,
293,8,5,1/27/2024,596,@#$%*&! not transparent stuck on.,
272,6,7,1/27/2024,753,Rusty Water effervescent handle.,
535,9,2,1/27/2024,275,Help huge cabinet noxious.,
187,3,5,1/27/2024,505,Hopeless @#$%*&! hopeless move.,
519,3,8,1/27/2024,814,@#$%*&! switch shock dim.,
365,8,1,1/27/2024,166,CanT Open fallen out cant open glass cant open bars handle.,
471,6,6,1/27/2024,672,With dripping spout a.,
676,6,6,1/27/2024,673,Bathroom flush pooled up help deposit handle move.,
149,5,4,1/27/2024,404,Unexpected chilly unexpected set grate wheeze hot.,
245,8,1,1/27/2024,157,Sill @#$%*&! injured will sue will sue forever.,
347,9,8,1/27/2024,840,Cupboard huge vinyl deposit @#$%*&! uncomfortable move.,
688,3,8,1/27/2024,859,Law Suit for help for.,
590,3,7,1/27/2024,707,Darkness switch darkness fridge led wire explode.,
350,9,7,1/28/2024,754,Cupboard closet rod a closet rod deposit shelf incompetent.,
644,6,3,1/28/2024,360,With dripping spout a.,
529,3,8,1/28/2024,821,Forever switch shock dim.,
217,1,5,1/28/2024,596,Incompetent click click game streaming the.,
98,3,1,1/29/2024,145,Flame switch night light deposit for smoke law suit.,
176,5,4,1/30/2024,464,For grate boiling on.,
356,1,6,1/30/2024,674,Slow download wireless slumlord incompetent websites move.,
242,9,1,1/30/2024,128,Move shelf shelf wall fixture the.,
459,3,1,1/30/2024,162,Move led spark to.,
258,8,7,1/30/2024,721,Crack fallen out the highly will sue injured law suit.,
461,3,3,1/31/2024,322,Spark fixture for pop dim for explode led.,
